metadata_file,session_id,capture_id,timestamp,weight_kg,weight_source,focus_laplacian_var,focus_min_laplacian,roi_count,detection_count,selected_detection_index,selected_confidence,selected_depth_mm,selected_height_mm,selected_width_mm,selected_length_mm,selected_area_mm2,floor_depth_mm,has_top_level_final_weight,root_cause_flags,dominant_root_cause
20260210_073143.json,20260210_073143,20260210_073143,2026-02-10T07:31:43.334665,0.2,,610.1699647661317,70.0,1.0,1,0,0.9232415556907654,1294.8250685007629,74.03371786287357,96.8975754348734,309.4075800745037,32326.371517487096,1368.8587863636365,False,finalize_path_payload_gap,finalize_path_fallback_risk
20260210_091058.json,20260210_091058,20260210_091058,2026-02-10T09:10:58.037566,0.2,,737.5025625618894,70.0,1.0,1,0,0.9468986988067627,1563.7704782664387,-194.9116919028022,200.5217482546309,376.62571904652077,47681.08237331089,1368.8587863636365,False,depth_negative_height;finalize_path_payload_gap,finalize_path_fallback_risk
20260210_174541.json,20260210_174541,20260210_174541,2026-02-10T17:45:41.144166,0.2,,689.3056941274049,70.0,1.0,1,0,0.9626091122627258,1362.5642378673635,6.29454849627291,188.26041820251015,271.4302604906054,33080.49266698812,1368.8587863636365,False,finalize_path_payload_gap,finalize_path_fallback_risk
20260211_015449.json,20260211_015449,20260211_015449,2026-02-11T01:54:49.893956,0.0,,697.5327570308791,70.0,1.0,1,0,0.9555739164352417,1086.747738631737,282.11104773189936,131.64000555388762,213.91500902506738,21598.437080377822,1368.8587863636365,False,finalize_path_payload_gap,finalize_path_fallback_risk
20260211_020327.json,20260211_020327,20260211_020327,2026-02-11T02:03:27.945331,0.2,,697.4949152772477,70.0,1.0,1,0,0.9391680955886841,2407.6790936457037,-1038.8203072820672,292.78640454893264,563.9271216020297,121719.46204271464,1368.8587863636365,False,depth_outlier;depth_negative_height;finalize_path_payload_gap,finalize_path_fallback_risk
20260211_021256.json,20260211_021256,20260211_021256,2026-02-11T02:12:56.072426,0.2,,624.9904880503676,70.0,1.0,1,0,0.9493665099143982,4002.797745510666,-2633.93895914703,501.9132975581048,778.4391143259662,305324.43604004954,1368.8587863636365,False,depth_outlier;depth_negative_height;finalize_path_payload_gap,finalize_path_fallback_risk
20260211_021646.json,20260211_021646,20260211_021646,2026-02-11T02:16:46.425423,0.55,,362.19566375719427,70.0,2.0,2,1,0.8252008557319641,296514.94068667473,-295146.0819003111,38723.52148951337,42511.69207000924,1160130209.3352597,1368.8587863636365,False,segmentation_multi_detection;depth_outlier;depth_negative_height;finalize_path_payload_gap,finalize_path_fallback_risk
20260211_022802.json,20260211_022802,20260211_022802,2026-02-11T02:28:02.016458,0.55,,522.8796217631019,70.0,2.0,2,0,0.9390172362327576,1301.8217591782409,67.03702718539557,204.5072512998562,235.30654179633908,32328.615360585136,1368.8587863636365,False,segmentation_multi_detection;finalize_path_payload_gap,finalize_path_fallback_risk
20260211_024446.json,20260211_024446,20260211_024446,2026-02-11T02:44:46.709556,0.2,,720.9767409459541,70.0,1.0,1,0,0.9454894065856934,1368.368558369461,0.4902279941754841,203.95427927175746,238.91787000405873,34279.91239668,1368.8587863636365,False,finalize_path_payload_gap,finalize_path_fallback_risk
20260211_025129.json,20260211_025129,20260211_025129,2026-02-11T02:51:29.787759,0.35,,689.6411376545738,70.0,1.0,1,0,0.9458451271057129,1368.8544847041092,0.004301659527300217,202.73129855899762,239.6504168269301,34344.964748068924,1368.8587863636365,False,finalize_path_payload_gap,finalize_path_fallback_risk
20260211_031416.json,20260211_031416,20260211_031416,2026-02-11T03:14:16.783848,0.2,,584.7638195206849,70.0,1.0,1,0,0.8493118286132812,57965.32675077851,-56596.46796441488,8612.259710155473,8859.107918408336,62873623.74566156,1368.8587863636365,False,depth_outlier;depth_negative_height;finalize_path_payload_gap,finalize_path_fallback_risk
20260211_033315.json,20260211_033315,20260211_033315,2026-02-11T03:33:15.450104,0.35,,682.0340704458694,70.0,1.0,1,0,0.9599579572677612,1267.1578661823705,101.70092018126593,146.29843400367227,294.3956194700681,30189.156392263973,1368.8587863636365,False,finalize_path_payload_gap,finalize_path_fallback_risk
20260211_034518.json,20260211_034518,20260211_034518,2026-02-11T03:45:18.957369,0.2,,454.5995621992911,70.0,0.0,0,,,,,,,,1368.8587863636365,False,finalize_path_payload_gap,finalize_path_fallback_risk
20260211_034623.json,20260211_034623,20260211_034623,2026-02-11T03:46:23.115087,0.2,,380.8748678226663,70.0,0.0,0,,,,,,,,1368.8587863636365,False,finalize_path_payload_gap,finalize_path_fallback_risk
20260211_034816.json,20260211_034816,20260211_034816,2026-02-11T03:48:16.866654,0.2,,712.0668042706104,70.0,1.0,1,0,0.9485388398170471,1220.6124854106306,148.24630095300586,151.3206787836763,293.9779599270658,28868.22884722445,1368.8587863636365,False,finalize_path_payload_gap,finalize_path_fallback_risk
20260211_035529.json,20260211_035529,20260211_035529,2026-02-11T03:55:29.916775,0.2,,704.7469848600261,70.0,1.0,1,0,0.9480456113815308,1368.8544847041092,0.004301659527300217,170.34610709589896,330.3289529236063,36372.6595762136,1368.8587863636365,False,finalize_path_payload_gap,finalize_path_fallback_risk
20260211_041032.json,20260211_041032,20260211_041032,2026-02-11T04:10:32.448032,0.2,,785.3787559623588,70.0,1.0,1,0,0.9426444172859192,1337.0427432975273,31.81604306610916,166.38727931250634,311.26444967434924,34680.54437816107,1368.8587863636365,False,finalize_path_payload_gap,finalize_path_fallback_risk
20260211_042132.json,20260211_042132,20260211_042132,2026-02-11T04:21:32.359779,0.55,,761.1216651672213,70.0,2.0,2,0,0.9401949048042297,1332.4210953773838,36.43769098625262,165.1817157272208,235.16328231394408,34255.396166099126,1368.8587863636365,False,segmentation_multi_detection;finalize_path_payload_gap,finalize_path_fallback_risk
20260211_042545.json,20260211_042545,20260211_042545,2026-02-11T04:25:45.171067,0.2,,742.9961343370747,70.0,2.0,2,0,0.9425488114356995,1337.5066720772975,31.352114286338974,165.8121416636898,311.3724526062279,34573.90998923581,1368.8587863636365,False,segmentation_multi_detection;finalize_path_payload_gap,finalize_path_fallback_risk
20260211_042808.json,20260211_042808,20260211_042808,2026-02-11T04:28:08.434361,0.2,,749.7267819294602,70.0,2.0,2,0,0.9425933957099915,1337.5066720772975,31.352114286338974,165.8121416636898,310.10671077194496,34577.44269687992,1368.8587863636365,False,segmentation_multi_detection;finalize_path_payload_gap,finalize_path_fallback_risk
20260211_044555.json,20260211_044555,20260211_044555,2026-02-11T04:45:55.067310,0.2,,743.2377309509423,70.0,1.0,1,0,0.9616803526878357,1267.99152267328,100.86726369035637,145.19472640551564,298.18917050235444,31251.22480289202,1368.8587863636365,False,finalize_path_payload_gap,finalize_path_fallback_risk
20260211_045259.json,20260211_045259,20260211_045259,2026-02-11T04:52:59.656706,0.2,,750.9631710287222,70.0,1.0,1,0,0.961887776851654,1265.909434787117,102.94935157651935,161.1291067839626,297.699533112367,31066.3990954186,1368.8587863636365,False,finalize_path_payload_gap,finalize_path_fallback_risk
20260211_061627.json,20260211_061627,20260211_061627,2026-02-11T06:16:27.132458,0.35,,776.8621700405292,70.0,1.0,1,0,0.95035320520401,1300.9430404747793,67.91574588885715,156.3547862751387,156.97035629984396,14651.903101415644,1368.8587863636365,False,finalize_path_payload_gap,finalize_path_fallback_risk
20260211_132751.json,20260211_132751,20260211_132751,2026-02-11T13:27:51.031172,,,706.8311863308882,70.0,,1,0,0.9504219889640808,1302.261563826612,66.59722253702444,156.5132539639311,156.5132539639311,14785.433532515357,1368.8587863636365,False,sensor_missing_weight,sensor_or_timing_gap
